label,n,mean,median,std,min,max,p25,p75,iqr,skewness
all_repos,361,2100.32,0,22456.3,0,374000,0,56,56,14.5443
框架,49,9036.55,143,53363.54,0,374000,52,481,429,6.5251
应用,24,1825.21,354.5,5046.06,10,25100,97.75,1522.5,1424.75,4.0681
评测,20,941.45,155.5,2248.81,13,9211,94.75,452.25,357.5,2.7726
论文代码,13,460.38,100,873.14,11,3155,57,353,296,2.245
工具,11,22336.82,179,60137.37,11,202000,78.5,9081.0,9002.5,2.3888
Unclassified,2,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
教程,1,1100.0,1100,0,1100,1100,1100,1100,0,0
