rank,author,records,kind,platforms,categories,github,linkedin,x,scholar,confidence,search_status,representative_works
12,Think AI,2,byline:2,Medium/TDS:2,agent_framework:2,https://github.com/maanvithag/think-ai-ui,https://www.linkedin.com/posts/kurtbuhler_i-think-many-of-us-who-use-ai-agents-daily-activity-7432347391468642306-EDFB<br>https://www.linkedin.com/posts/reid-blackman_i-think-ai-agents-change-the-incentives-for-activity-7459958086460497920-H1hw,unknown,unknown,medium,ok,Agent-R: How Language Models Are Learning to Reflect and Evolve | by Think AI | Medium || Agent-R: How Language Models Are Learning to Reflect and Evolve | by Think AI | Medium
13,Bing,2,byline:2,Medium/TDS:2,agent_discussion_resource:2,https://github.com/Azure-Samples/azure-ai-agent-service-enterprise-demo<br>https://github.com/Azure-Samples/azure-ai-agent-service-enterprise-demo#:~:text=Azure%20AI%20Agent%20Service%2Denterprise%2Ddemo,https://www.linkedin.com/in/bingai1985<br>https://www.linkedin.com/learning/building-agents-using-the-azure-ai-foundry-agent-service/grounding-with-bing-search,https://x.com/bingxu_,https://scholar.google.com/citations?user=oQGUdU0AAAAJ&hl=en,medium,ok,Agentic Context Engineering: Teaching Language Models to Learn from Experience | by Bing | Medium || Agentic Context Engineering: Teaching Language Models to Learn from Experience | by Bing | Medium
14,Micheal Lanham,2,byline:2,Medium/TDS:2,self_evolving_agent:2,https://github.com/cxbxmxcx<br>https://github.com/Jason2Brownlee/awesome-llm-books/blob/main/books/ai-agents-in-action.md,https://www.linkedin.com/posts/micheal-lanham-189693123_ai-agents-in-action-activity-7310328322704490496-Scm1<br>https://ca.linkedin.com/in/micheal-lanham-189693123,unknown,unknown,medium,ok,"Agents That Improve How They Improve: When the Coach Fires Itself | by Micheal Lanham | Apr, 2026 | Medium || Agents That Improve How They Improve: When the Coach Fires Itself | by Micheal Lanham | Apr, 2026 | Medium"
15,Nir Shilon,2,byline:2,Medium/TDS:2,self_evolving_agent:2,https://github.com/nirholas/xspace-agent,https://il.linkedin.com/in/nir-shilon-18a43a348<br>https://linkedin.com/in/nir-shilon-18a43a348,https://x.com/swarminged,unknown,medium,ok,"Building Self-Evolving AI Agents. In this post, I want to walk you… | by Nir Shilon | Apr, 2026 | Medium || Building Self-Evolving AI Agents. In this post, I want to walk you… | by Nir Shilon | Apr, 2026 | Medium"
16,Scott Johnson,2,byline:2,Medium/TDS:2,self_evolving_agent:2,https://github.com/scottj<br>https://github.com/scottdjohnson,"https://www.linkedin.com/in/scott-johnson-aa059a4<br>https://www.linkedin.com/in/scott-johnson-aa059a4#:~:text=Chief%20Technology%20Officer%2C%20TriZetto%20at%20Cognizant,-Cognizant%20University%20of%20Illinois%20at",https://x.com/search?f=users&q=Scott%20Walter%20Johnson,https://scholar.google.com.au/citations?hl=en&user=s2uMtOgAAAAJ,medium,ok,"Building Self-Improvement into AI Agents | by Scott Johnson | Feb, 2026 | Medium || Building Self-Improvement into AI Agents | by Scott Johnson | Feb, 2026 | Medium"
17,Kainat Nafees,2,byline:2,Medium/TDS:2,self_evolving_agent:2,unknown,unknown,unknown,unknown,low/unresolved,ok,Designing Self-Improving AI Agents: How I Built a Feedback-Driven Intelligence Loop | by Kainat Nafees | Medium || Designing Self-Improving AI Agents: How I Built a Feedback-Driven Intelligence Loop | by Kainat Nafees | Medium
18,JIN,2,byline:2,Medium/TDS:2,self_evolving_agent:2,https://github.com/madjin<br>https://github.com/KirinJin2046,https://www.linkedin.com/posts/gvongfak_a-25-year-old-woke-up-at-4-am-by-sunrise-activity-7446603614510567424-76-j<br>https://www.linkedin.com/in/jinhuang11,https://x.com/ZhijingJin,https://scholar.google.com/citations?user=iHCuEo8AAAAJ&hl=zh-CN,medium,ok,FactorMiner: LLM + Experience Memory = A Self-Evolving Alpha Discovery Agent | by JIN | JIN System Architect | Medium || FactorMiner: LLM + Experience Memory = A Self-Evolving Alpha Discovery Agent | by JIN | JIN System Architect | Medium
19,Max Quimby,2,byline:2,Medium/TDS:2,self_evolving_agent:2,unknown,unknown,unknown,unknown,low/unresolved,ok,"GenericAgent and EvoMap: How AI Grows Its Own Skill Trees — AgentConn Blog | by Max Quimby | Apr, 2026 | Medium || GenericAgent and EvoMap: How AI Grows Its Own Skill Trees — AgentConn Blog | by Max Quimby | Apr, 2026 | Medium"
20,Ebad Sayed,2,byline:2,Medium/TDS:2,self_evolving_agent:2,https://github.com/ES7<br>https://github.com/ES7,https://www.linkedin.com/posts/ebad-sayed-0861a6227_artificialintelligence-aiagents-llm-activity-7433900109136056320-9kYx<br>https://www.linkedin.com/posts/ebad-sayed-0861a6227_agenticai-promptengineering-openai-activity-7453669137287008258-LMnZ,unknown,unknown,medium,ok,"I Built an AI That Fixes Its Own Mistakes | by Ebad Sayed | Apr, 2026 | Medium || I Built an AI That Fixes Its Own Mistakes | by Ebad Sayed | Apr, 2026 | Medium"
21,DrSwarnenduAI,2,byline:2,Medium/TDS:2,self_evolving_agent:2,unknown,https://www.linkedin.com/posts/swarnendu-bhattacharya_the-softmax-in-every-ai-model-is-a-disguised-activity-7449385862934470656-QP87,unknown,unknown,medium,ok,"Meta Just Built an AI That Rewrites the Rules of How It Gets Smarter. Then It Rewrote Those Rules Too. | by DrSwarnenduAI | Mar, 2026 | Towards AI || Meta Just Built an AI That Rewrites the Rules of How It Gets Smarter. Then It Rewrote Those Rules Too. | by DrSwarnenduAI | Mar, 2026 | Towards AI"
22,ArXiv In-depth Analysis,2,byline:2,Medium/TDS:2,self_evolving_agent:2,https://github.com/HKUDS/AI-Researcher.git<br>https://github.com/byBasiliosP/RLM-Agent,https://www.linkedin.com/posts/masutter_its-possible-that-a-large-interconnected-activity-7387941177003573248-rLkz,unknown,https://arxiv.org/html/2605.11732v1,medium,ok,"MetaClaw: Your AI Agent Is Static. This Framework Makes It Self-Evolve While You Sleep | by ArXiv In-depth Analysis | Mar, 2026 | Towards Dev || MetaClaw: Your AI Agent Is Static. This Framework Makes It Self-Evolve While You Sleep | by ArXiv In-depth Analysis | Mar, 2026 | Towards Dev"
23,FelixNg,2,byline:2,Medium/TDS:2,self_evolving_agent:2,https://github.com/FelixNg1022<br>https://github.com/felixng,https://ca.linkedin.com/in/felixng1022,unknown,unknown,medium,ok,"MiniMax M2.7: The First “Self-Evolving” Agent Model is Here | by FelixNg | AI for Life | Apr, 2026 | Medium || MiniMax M2.7: The First “Self-Evolving” Agent Model is Here | by FelixNg | AI for Life | Apr, 2026 | Medium"
24,Kanshi Tanaike,2,byline:2,Medium/TDS:2,self_evolving_agent:2,https://github.com/tanaikech<br>https://github.com/tanaikech/agent-skill-for-developing-gas-fakes.,https://www.linkedin.com/posts/mhawksey_stackoverflow-trends-2026-the-structural-activity-7414407681068654592-O8aU<br>https://www.linkedin.com/posts/pablorr_ai-algorithmdesign-google-activity-7409236193168756736-QJc1,unknown,unknown,medium,ok,"Recursive Knowledge Crystallization: A Framework for Persistent Autonomous Agent Self-Evolution | by Kanshi Tanaike | Google Cloud - Community | Feb, 2026 | Medium || Recursive Knowledge Crystallization: A Framework for Persistent Autonomous Agent Self-Evolution | by Kanshi Tanaike | Google Cloud - Community | Feb, 2026 | Medium"
