repo,url,stars,language,category,file
quantstellarlab/ai-scientist-v2,https://github.com/quantstellarlab/ai-scientist-v2,,-,-,quantstellarlab_ai-scientist-v2.md
r4stin/kg-research-agent,https://github.com/r4stin/kg-research-agent,,-,-,r4stin_kg-research-agent.md
raghavc/llm-rlhf-tuning-with-ppo-and-dpo,https://github.com/raghavc/llm-rlhf-tuning-with-ppo-and-dpo,,-,-,raghavc_llm-rlhf-tuning-with-ppo-and-dpo.md
researai/awesome-ai-scientist,https://github.com/researai/awesome-ai-scientist,,-,-,researai_awesome-ai-scientist.md
rinadelph/agent-mcp,https://github.com/rinadelph/agent-mcp,,-,-,rinadelph_agent-mcp.md
rishab-agrawal/humanoid-curriculum-rl,https://github.com/rishab-agrawal/humanoid-curriculum-rl,,-,-,rishab-agrawal_humanoid-curriculum-rl.md
rlhflow/online-rlhf,https://github.com/rlhflow/online-rlhf,,-,-,rlhflow_online-rlhf.md
rlhflow/self-rewarding-reasoning-llm,https://github.com/rlhflow/self-rewarding-reasoning-llm,,-,-,rlhflow_self-rewarding-reasoning-llm.md
rllm-org/rllm,https://github.com/rllm-org/rllm,,-,-,rllm-org_rllm.md
rmanluo/gfm-rag,https://github.com/rmanluo/gfm-rag,,-,-,rmanluo_gfm-rag.md
ronit26mehta/argus-ai-debate,https://github.com/ronit26mehta/argus-ai-debate,,-,-,ronit26mehta_argus-ai-debate.md
rucbm/laser,https://github.com/rucbm/laser,,-,-,rucbm_laser.md
sakanaai/ai-scientist,https://github.com/sakanaai/ai-scientist,,-,-,sakanaai_ai-scientist.md
sakanaai/ai-scientist-v2,https://github.com/sakanaai/ai-scientist-v2,,-,-,sakanaai_ai-scientist-v2.md
sakanaai/shinkaevolve,https://github.com/sakanaai/shinkaevolve,,-,-,sakanaai_shinkaevolve.md
sakutepov/ai-scientist-v2,https://github.com/sakutepov/ai-scientist-v2,,-,-,sakutepov_ai-scientist-v2.md
salvatorera/ml-news-of-the-week,https://github.com/salvatorera/ml-news-of-the-week,,-,-,salvatorera_ml-news-of-the-week.md
sasleee/tencentdb-agent-memory,https://github.com/sasleee/tencentdb-agent-memory,,-,-,sasleee_tencentdb-agent-memory.md
scienceaix/agentskills,https://github.com/scienceaix/agentskills,,-,-,scienceaix_agentskills.md
sebastianbrzustowicz/robot-sumo-rl,https://github.com/sebastianbrzustowicz/robot-sumo-rl,,-,-,sebastianbrzustowicz_robot-sumo-rl.md
seetrex-ai/laimark,https://github.com/seetrex-ai/laimark,,-,-,seetrex-ai_laimark.md
self-play-language-models/spin-peft,https://github.com/self-play-language-models/spin-peft,,-,-,self-play-language-models_spin-peft.md
shadowrootdev/awesome-agent-skills-mcp,https://github.com/shadowrootdev/awesome-agent-skills-mcp,,-,-,shadowrootdev_awesome-agent-skills-mcp.md
shehrum/grf-self-play,https://github.com/shehrum/grf-self-play,,-,-,shehrum_grf-self-play.md
shichun-liu/agent-memory-paper-list,https://github.com/shichun-liu/agent-memory-paper-list,,-,-,shichun-liu_agent-memory-paper-list.md
shingo257/gitnexus,https://github.com/shingo257/gitnexus,,-,-,shingo257_gitnexus.md
shiqichen17/spa,https://github.com/shiqichen17/spa,,-,-,shiqichen17_spa.md
sibyl-research-team/sibyl-research-system,https://github.com/sibyl-research-team/sibyl-research-system,,-,-,sibyl-research-team_sibyl-research-system.md
siddharth-1001/agent-eval-harness,https://github.com/siddharth-1001/agent-eval-harness,,-,-,siddharth-1001_agent-eval-harness.md
significant-gravitas/autogpt,https://github.com/significant-gravitas/autogpt,,-,-,significant-gravitas_autogpt.md
skills-mcp/skills-mcp,https://github.com/skills-mcp/skills-mcp,,-,-,skills-mcp_skills-mcp.md
smiles724/awesome-llm-rlvr,https://github.com/smiles724/awesome-llm-rlvr,,-,-,smiles724_awesome-llm-rlvr.md
snowflake-labs/agent-world-model,https://github.com/snowflake-labs/agent-world-model,,-,-,snowflake-labs_agent-world-model.md
sola-st/repairagent,https://github.com/sola-st/repairagent,,-,-,sola-st_repairagent.md
spillwavesolutions/agent-brain,https://github.com/spillwavesolutions/agent-brain,,-,-,spillwavesolutions_agent-brain.md
spiral-rl/spiral,https://github.com/spiral-rl/spiral,,-,-,spiral-rl_spiral.md
square-mind/squaremind,https://github.com/square-mind/squaremind,,-,-,square-mind_squaremind.md
stanfordnlp/dsp,https://github.com/stanfordnlp/dsp,,-,-,stanfordnlp_dsp.md
stanfordnlp/dspy,https://github.com/stanfordnlp/dspy,,-,-,stanfordnlp_dspy.md
star-bob/swe-agent,https://github.com/star-bob/swe-agent,,-,-,star-bob_swe-agent.md
stonks-git/intuitive-ai,https://github.com/stonks-git/intuitive-ai,,-,-,stonks-git_intuitive-ai.md
studio-intrinsic/turbo-gepa,https://github.com/studio-intrinsic/turbo-gepa,,-,-,studio-intrinsic_turbo-gepa.md
sunitj/colloquip,https://github.com/sunitj/colloquip,,-,-,sunitj_colloquip.md
swe-agent/swe-agent,https://github.com/swe-agent/swe-agent,,-,-,swe-agent_swe-agent.md
swe-bench/swe-bench,https://github.com/swe-bench/swe-bench,,-,-,swe-bench_swe-bench.md
synaptent/aragora,https://github.com/synaptent/aragora,,-,-,synaptent_aragora.md
taishi-n324/awesome-rl-reasoning,https://github.com/taishi-n324/awesome-rl-reasoning,,-,-,taishi-n324_awesome-rl-reasoning.md
teleai-uagi/awesome-agent-memory,https://github.com/teleai-uagi/awesome-agent-memory,,-,-,teleai-uagi_awesome-agent-memory.md
thesdes/textgrad,https://github.com/thesdes/textgrad,,-,-,thesdes_textgrad.md
thu-nics/mars,https://github.com/thu-nics/mars,,-,-,thu-nics_mars.md
thuml/rlvr-world,https://github.com/thuml/rlvr-world,,-,-,thuml_rlvr-world.md
tianyi-stack/madevolve,https://github.com/tianyi-stack/madevolve,,-,-,tianyi-stack_madevolve.md
tiger-ai-lab/openresearcher,https://github.com/tiger-ai-lab/openresearcher,,-,-,tiger-ai-lab_openresearcher.md
tmgthb/autonomous-agents,https://github.com/tmgthb/autonomous-agents,,-,-,tmgthb_autonomous-agents.md
tsinghua-fib-lab/awesome-ai-scientists,https://github.com/tsinghua-fib-lab/awesome-ai-scientists,,-,-,tsinghua-fib-lab_awesome-ai-scientists.md
tsinghua-fib-lab/world-model,https://github.com/tsinghua-fib-lab/world-model,,-,-,tsinghua-fib-lab_world-model.md
tsinghuac3i/awesome-memory-for-agents,https://github.com/tsinghuac3i/awesome-memory-for-agents,,-,-,tsinghuac3i_awesome-memory-for-agents.md
tsinghuac3i/awesome-rl-for-lrms,https://github.com/tsinghuac3i/awesome-rl-for-lrms,,-,-,tsinghuac3i_awesome-rl-for-lrms.md
tsukushiai/self-organized-agent,https://github.com/tsukushiai/self-organized-agent,,-,-,tsukushiai_self-organized-agent.md
tzussman/openevolve,https://github.com/tzussman/openevolve,,-,-,tzussman_openevolve.md
uid4oe/insight-swarm,https://github.com/uid4oe/insight-swarm,,-,-,uid4oe_insight-swarm.md
vercel-labs/ai,https://github.com/vercel-labs/ai,,-,-,vercel-labs_ai.md
vercel/ai,https://github.com/vercel/ai,,-,-,vercel_ai.md
vercel/workflow,https://github.com/vercel/workflow,,-,-,vercel_workflow.md
vicsanity623/pyob,https://github.com/vicsanity623/pyob,,-,-,vicsanity623_pyob.md
vision-intelligence-and-robots-group/best-incremental-learning,https://github.com/vision-intelligence-and-robots-group/best-incremental-learning,,-,-,vision-intelligence-and-robots-group_best-incremental-learning.md
vivy-yi/awesome-agent-orchestration,https://github.com/vivy-yi/awesome-agent-orchestration,,-,-,vivy-yi_awesome-agent-orchestration.md
voltagent/awesome-agent-skills,https://github.com/voltagent/awesome-agent-skills,,-,-,voltagent_awesome-agent-skills.md
vsonicv/es-fine-tuning-paper,https://github.com/vsonicv/es-fine-tuning-paper,,-,-,vsonicv_es-fine-tuning-paper.md
werner-duvaud/muzero-general,https://github.com/werner-duvaud/muzero-general,,-,-,werner-duvaud_muzero-general.md
workofart/selfplay-tictactoe,https://github.com/workofart/selfplay-tictactoe,,-,-,workofart_selfplay-tictactoe.md
wuxingyu-ai/llm4ec,https://github.com/wuxingyu-ai/llm4ec,,-,-,wuxingyu-ai_llm4ec.md
wzdnzd/harvester,https://github.com/wzdnzd/harvester,,-,-,wzdnzd_harvester.md
x1aox1a/word2world,https://github.com/x1aox1a/word2world,,-,-,x1aox1a_word2world.md
xai-liacs/llamea,https://github.com/xai-liacs/llamea,,-,-,xai-liacs_llamea.md
xanther-ai/xce-benchmarks,https://github.com/xanther-ai/xce-benchmarks,,-,-,xanther-ai_xce-benchmarks.md
xialeiliu/awesome-incremental-learning,https://github.com/xialeiliu/awesome-incremental-learning,,-,-,xialeiliu_awesome-incremental-learning.md
xiaofangxd/llm_ea,https://github.com/xiaofangxd/llm_ea,,-,-,xiaofangxd_llm_ea.md
xinhuagu/aceclaw,https://github.com/xinhuagu/aceclaw,,-,-,xinhuagu_aceclaw.md
xizaoqu/worldmem,https://github.com/xizaoqu/worldmem,,-,-,xizaoqu_worldmem.md
xuchen-li/llm-arxiv-daily,https://github.com/xuchen-li/llm-arxiv-daily,,-,-,xuchen-li_llm-arxiv-daily.md
yennning/awesome-code-as-agent-harness-papers,https://github.com/yennning/awesome-code-as-agent-harness-papers,,-,-,yennning_awesome-code-as-agent-harness-papers.md
yingchengyang/reinforcement-learning-papers,https://github.com/yingchengyang/reinforcement-learning-papers,,-,-,yingchengyang_reinforcement-learning-papers.md
youngdubbydu/llm-agent-optimization,https://github.com/youngdubbydu/llm-agent-optimization,,-,-,youngdubbydu_llm-agent-optimization.md
yxf203/awesome-efficient-agents,https://github.com/yxf203/awesome-efficient-agents,,-,-,yxf203_awesome-efficient-agents.md
zanwenfu/auto-code-rover,https://github.com/zanwenfu/auto-code-rover,,-,-,zanwenfu_auto-code-rover.md
zazencodes/zazencodes-season-3,https://github.com/zazencodes/zazencodes-season-3,,-,-,zazencodes_zazencodes-season-3.md
zbinxp/deer-flow,https://github.com/zbinxp/deer-flow,,-,-,zbinxp_deer-flow.md
zed-industries/zed,https://github.com/zed-industries/zed,,-,-,zed-industries_zed.md
zesearch/self-improvement-llm,https://github.com/zesearch/self-improvement-llm,,-,-,zesearch_self-improvement-llm.md
zhangyiqun018/agent-for-debate,https://github.com/zhangyiqun018/agent-for-debate,,-,-,zhangyiqun018_agent-for-debate.md
zhentingwang/dump,https://github.com/zhentingwang/dump,,-,-,zhentingwang_dump.md
zhonghaojiang/awesome-issue-solving,https://github.com/zhonghaojiang/awesome-issue-solving,,-,-,zhonghaojiang_awesome-issue-solving.md
zijian-ni/awesome-ai-agents-2026,https://github.com/zijian-ni/awesome-ai-agents-2026,,-,-,zijian-ni_awesome-ai-agents-2026.md
zixuanfeng-nyu/textgrad,https://github.com/zixuanfeng-nyu/textgrad,,-,-,zixuanfeng-nyu_textgrad.md
zjunlp/knowself,https://github.com/zjunlp/knowself,,-,-,zjunlp_knowself.md
zjunlp/worldmind,https://github.com/zjunlp/worldmind,,-,-,zjunlp_worldmind.md
zou-group/textgrad,https://github.com/zou-group/textgrad,,-,-,zou-group_textgrad.md
zzz47zzz/awesome-lifelong-learning-methods-for-llm,https://github.com/zzz47zzz/awesome-lifelong-learning-methods-for-llm,,-,-,zzz47zzz_awesome-lifelong-learning-methods-for-llm.md
xiaofangxd/llm/ea,https://github.com/xiaofangxd/llm/ea,,Unknown,Unclassified,xiaofangxd_llm_ea.md
arvid-pku/godel/agent,https://github.com/arvid-pku/godel/agent,,Unknown,Unclassified,arvid-pku_godel_agent.md
nousresearch/hermes-agent,https://github.com/NousResearch/hermes-agent,0,Markdown,框架,
obra/superpowers,https://github.com/obra/superpowers,202000,Shell,工具,
openclaw/openclaw,https://github.com/openclaw/openclaw,374000,TypeScript,框架,
pinchbench/skill,https://github.com/pinchbench/skill,1200,Python,评测,
rohitg00/agentmemory,https://github.com/rohitg00/agentmemory,16000,TypeScript,工具,
tinyhumansai/openhuman,https://github.com/tinyhumansai/openhuman,25100,Rust,应用,
claw-bench/claw-bench,https://github.com/claw-bench/claw-bench,171,Python,评测,
openclaw/clawbench,https://github.com/openclaw/clawbench,97,Python,评测,
claw-eval/claw-eval,https://github.com/claw-eval/claw-eval,606,Python,评测,
raphaelchristi/harness-evolver,https://github.com/raphaelchristi/harness-evolver,21,TypeScript/JavaScript,工具,
ai-boost/awesome-harness-engineering,https://github.com/ai-boost/awesome-harness-engineering,1100,Markdown,教程,
YunjueTech/Yunjue-Agent,https://github.com/YunjueTech/Yunjue-Agent,426,Python,论文代码,
RangeKing/self-evolving-agent,https://github.com/RangeKing/self-evolving-agent,9,Python,工具,
gofenix/nex-agent,https://github.com/gofenix/nex-agent,64,Elixir,应用,
swapedoc/hermes2anti,https://github.com/swapedoc/hermes2anti,4,Python,工具,
vilmire/adhdev,https://github.com/vilmire/adhdev,33,TypeScript,框架,
