repo,url,stars,language,category,file
shintaro-sprech/agent-orchestrator-template,https://github.com/shintaro-sprech/agent-orchestrator-template,120,N/A,框架,shintaro-sprech_agent-orchestrator-template.md
memtensor/memrl,https://github.com/memtensor/memrl,117,Python,论文代码,memtensor_memrl.md
longyunfeigu/learn-hermes-agent,https://github.com/longyunfeigu/learn-hermes-agent,113,Python,框架,longyunfeigu_learn-hermes-agent.md
autohandai/code-cli,https://github.com/autohandai/code-cli,110,TypeScript,应用,autohandai_code-cli.md
dongxiangjue/awesome-llm-self-improvement,https://github.com/dongxiangjue/awesome-llm-self-improvement,106,N/A,工具,dongxiangjue_awesome-llm-self-improvement.md
yang1999code/controllable-agent,https://github.com/yang1999code/controllable-agent,105,Python,框架,yang1999code_controllable-agent.md
sethkarten/continual-harness,https://github.com/sethkarten/continual-harness,105,Python,评测,sethkarten_continual-harness.md
0xsanei/darwinia,https://github.com/0xsanei/darwinia,102,Python,框架,0xsanei_darwinia.md
zou-group/sirius,https://github.com/zou-group/sirius,101,Python,应用,zou-group_sirius.md
opentracy/opentracy,https://github.com/opentracy/opentracy,101,Python,评测,opentracy_opentracy.md
tencent/selfevolvingagent,https://github.com/tencent/selfevolvingagent,100,Python,论文代码,tencent_selfevolvingagent.md
knowledgexlab/muse,https://github.com/knowledgexlab/muse,88,Python,应用,knowledgexlab_muse.md
ngoodman/metaprompt,https://github.com/ngoodman/metaprompt,88,Python,评测,ngoodman_metaprompt.md
agenttoolkit/altk-evolve,https://github.com/agenttoolkit/altk-evolve,85,Python,框架,agenttoolkit_altk-evolve.md
richchen-maker/openclaw-multi-agent-team,https://github.com/richchen-maker/openclaw-multi-agent-team,80,Python,框架,richchen-maker_openclaw-multi-agent-team.md
gensi-thuair/flex,https://github.com/gensi-thuair/flex,78,Python,论文代码,gensi-thuair_flex.md
shaoshuai0605/misevolution,https://github.com/shaoshuai0605/misevolution,76,Python,评测,shaoshuai0605_misevolution.md
ecnu-icalk/ell-stulife,https://github.com/ecnu-icalk/ell-stulife,74,Python,应用,ecnu-icalk_ell-stulife.md
yonkoo11/hermes-dojo,https://github.com/yonkoo11/hermes-dojo,72,Python,应用,yonkoo11_hermes-dojo.md
mbchang/meta-prompt,https://github.com/mbchang/meta-prompt,65,Jupyter Notebook,论文代码,mbchang_meta-prompt.md
omdivyatej/self-learning-agents,https://github.com/omdivyatej/self-learning-agents,63,Python,框架,omdivyatej_self-learning-agents.md
euphoria16/ui-genie,https://github.com/euphoria16/ui-genie,57,Python,论文代码,euphoria16_ui-genie.md
eliasecchig/gemini-cli-git,https://github.com/eliasecchig/gemini-cli-git,56,N/A,框架,eliasecchig_gemini-cli-git.md
evotai/evot,https://github.com/evotai/evot,54,Rust,框架,evotai_evot.md
emson/elfmem,https://github.com/emson/elfmem,53,HTML,框架,emson_elfmem.md
ilearn-lab/evoharness,https://github.com/ilearn-lab/evoharness,52,Python,框架,ilearn-lab_evoharness.md
ibm/awesome-agentic-workflow-optimization,https://github.com/ibm/awesome-agentic-workflow-optimization,51,N/A,工具,ibm_awesome-agentic-workflow-optimization.md
zoe-yyx/agentnet,https://github.com/zoe-yyx/agentnet,46,Python,框架,zoe-yyx_agentnet.md
pingcy/ace-langgraph,https://github.com/pingcy/ace-langgraph,46,Python,框架,pingcy_ace-langgraph.md
keskival/recursive-self-improvement-suite,https://github.com/keskival/recursive-self-improvement-suite,46,Python,应用,keskival_recursive-self-improvement-suite.md
zhang677/accelopt,https://github.com/zhang677/accelopt,43,Python,论文代码,zhang677_accelopt.md
28naem-del/mnemosyne,https://github.com/28naem-del/mnemosyne,41,TypeScript,框架,28naem-del_mnemosyne.md
cellium-project/cellium-agent,https://github.com/cellium-project/cellium-agent,41,Python,框架,cellium-project_cellium-agent.md
hankbesser/recursive-agents,https://github.com/hankbesser/recursive-agents,39,Python,框架,hankbesser_recursive-agents.md
clawland-ai/geneclaw,https://github.com/clawland-ai/geneclaw,36,Python,框架,clawland-ai_geneclaw.md
naivoder/mctsr,https://github.com/naivoder/mctsr,22,Python,应用,naivoder_mctsr.md
faveos8758/reflexion-agent-ts,https://github.com/faveos8758/reflexion-agent-ts,20,TypeScript,评测,faveos8758_reflexion-agent-ts.md
exoskeletonzj/mars,https://github.com/exoskeletonzj/mars,18,Python,框架,exoskeletonzj_mars.md
ventr1c/memma,https://github.com/ventr1c/memma,17,Python,论文代码,ventr1c_memma.md
yinbo0927/fate,https://github.com/yinbo0927/fate,16,Python,评测,yinbo0927_fate.md
tylerdotai/meta-harness-evolver,https://github.com/tylerdotai/meta-harness-evolver,14,Python,框架,tylerdotai_meta-harness-evolver.md
opendatabox/workspace-bench,https://github.com/opendatabox/workspace-bench,13,Python,评测,opendatabox_workspace-bench.md
privkeyio/evolve-mcp,https://github.com/privkeyio/evolve-mcp,11,Python,框架,privkeyio_evolve-mcp.md
octobrist/cope,https://github.com/octobrist/cope,11,Python,论文代码,octobrist_cope.md
zhihaopeng-cityu/awesome-self-evolving-ai-for-agentic-healthcare,https://github.com/zhihaopeng-cityu/awesome-self-evolving-ai-for-agentic-healthcare,11,Python,工具,zhihaopeng-cityu_awesome-self-evolving-ai-for-agentic-healthcare.md
senweaver/senagentos,https://github.com/senweaver/senagentos,10,Rust,框架,senweaver_senagentos.md
aiming-lab/atp,https://github.com/aiming-lab/atp,10,Python,应用,aiming-lab_atp.md
mettamazza/ernosagent,https://github.com/mettamazza/ernosagent,10,Rust,框架,mettamazza_ernosagent.md
01-ai/langcrew,https://github.com/01-ai/langcrew,,-,-,01-ai_langcrew.md
aaronowh/ai-scientist-v2,https://github.com/aaronowh/ai-scientist-v2,,-,-,aaronowh_ai-scientist-v2.md
abhisakh/ai-scientist-v2,https://github.com/abhisakh/ai-scientist-v2,,-,-,abhisakh_ai-scientist-v2.md
adiban17/ppo-ping-pong-agent-,https://github.com/adiban17/ppo-ping-pong-agent-,,-,-,adiban17_ppo-ping-pong-agent-.md
agent-on-the-fly/memento,https://github.com/agent-on-the-fly/memento,,-,-,agent-on-the-fly_memento.md
agentmemoryworld/awesome-agent-memory,https://github.com/agentmemoryworld/awesome-agent-memory,,-,-,agentmemoryworld_awesome-agent-memory.md
agentskills/agentskills,https://github.com/agentskills/agentskills,,-,-,agentskills_agentskills.md
agi-edgerunners/llm-agents-papers,https://github.com/agi-edgerunners/llm-agents-papers,,-,-,agi-edgerunners_llm-agents-papers.md
ai-boost/awesome-ai-for-science,https://github.com/ai-boost/awesome-ai-for-science,,-,-,ai-boost_awesome-ai-for-science.md
ai4co/awesome-fm4co,https://github.com/ai4co/awesome-fm4co,,-,-,ai4co_awesome-fm4co.md
aimagelab/mammoth,https://github.com/aimagelab/mammoth,,-,-,aimagelab_mammoth.md
alberto-codes/gepa-adk,https://github.com/alberto-codes/gepa-adk,,-,-,alberto-codes_gepa-adk.md
algorithmicsuperintelligence/openevolve,https://github.com/algorithmicsuperintelligence/openevolve,,-,-,algorithmicsuperintelligence_openevolve.md
allenai/swe-agent,https://github.com/allenai/swe-agent,,-,-,allenai_swe-agent.md
angrysky56/reflective-agent-architecture,https://github.com/angrysky56/reflective-agent-architecture,,-,-,angrysky56_reflective-agent-architecture.md
anthropics/anthropic-sdk-python,https://github.com/anthropics/anthropic-sdk-python,,-,-,anthropics_anthropic-sdk-python.md
argus-framework/argus-ai-debate,https://github.com/argus-framework/argus-ai-debate,,-,-,argus-framework_argus-ai-debate.md
arthurmgraf/graphmind,https://github.com/arthurmgraf/graphmind,,-,-,arthurmgraf_graphmind.md
arunagirinathan-k/awesome-ai-agents-2026,https://github.com/arunagirinathan-k/awesome-ai-agents-2026,,-,-,arunagirinathan-k_awesome-ai-agents-2026.md
ashish-kamboj/agentic-ai-workflows,https://github.com/ashish-kamboj/agentic-ai-workflows,,-,-,ashish-kamboj_agentic-ai-workflows.md
asirwad/dspy-prompt-auto-optimizer,https://github.com/asirwad/dspy-prompt-auto-optimizer,,-,-,asirwad_dspy-prompt-auto-optimizer.md
autodrive-ecosystem/mrdt-marl,https://github.com/autodrive-ecosystem/mrdt-marl,,-,-,autodrive-ecosystem_mrdt-marl.md
bansky-cl/graphrag-arxiv-daily-paper,https://github.com/bansky-cl/graphrag-arxiv-daily-paper,,-,-,bansky-cl_graphrag-arxiv-daily-paper.md
bazilicum/graphltm,https://github.com/bazilicum/graphltm,,-,-,bazilicum_graphltm.md
beeevita/evoprompt,https://github.com/beeevita/evoprompt,,-,-,beeevita_evoprompt.md
bennettschwartz/membrane,https://github.com/bennettschwartz/membrane,,-,-,bennettschwartz_membrane.md
bobxwu/learning-from-rewards-llm-papers,https://github.com/bobxwu/learning-from-rewards-llm-papers,,-,-,bobxwu_learning-from-rewards-llm-papers.md
brain-research/guided-evolutionary-strategies,https://github.com/brain-research/guided-evolutionary-strategies,,-,-,brain-research_guided-evolutionary-strategies.md
browser-use/browser-use,https://github.com/browser-use/browser-use,,-,-,browser-use_browser-use.md
browser-use/web-ui,https://github.com/browser-use/web-ui,,-,-,browser-use_web-ui.md
bruno686/visplay,https://github.com/bruno686/visplay,,-,-,bruno686_visplay.md
budecosystem/claudeevolve,https://github.com/budecosystem/claudeevolve,,-,-,budecosystem_claudeevolve.md
camel-ai/owl,https://github.com/camel-ai/owl,,-,-,camel-ai_owl.md
caution724/github-explorer-skill,https://github.com/caution724/github-explorer-skill,,-,-,caution724_github-explorer-skill.md
ce0alex/skill-hunter,https://github.com/ce0alex/skill-hunter,,-,-,ce0alex_skill-hunter.md
centaurioun/crewai,https://github.com/centaurioun/crewai,,-,-,centaurioun_crewai.md
chuacheowhuan/gym-continuousdoubleauction,https://github.com/chuacheowhuan/gym-continuousdoubleauction,,-,-,chuacheowhuan_gym-continuousdoubleauction.md
circlemind-ai/fast-graphrag,https://github.com/circlemind-ai/fast-graphrag,,-,-,circlemind-ai_fast-graphrag.md
claire-labo/evotune,https://github.com/claire-labo/evotune,,-,-,claire-labo_evotune.md
clint-kristopher-morris/llm-guided-evolution,https://github.com/clint-kristopher-morris/llm-guided-evolution,,-,-,clint-kristopher-morris_llm-guided-evolution.md
codexstar69/bug-hunter,https://github.com/codexstar69/bug-hunter,,-,-,codexstar69_bug-hunter.md
colab2/midca,https://github.com/colab2/midca,,-,-,colab2_midca.md
crewaiinc/crewai,https://github.com/crewaiinc/crewai,,-,-,crewaiinc_crewai.md
davidzwz/awesome-rag-reasoning,https://github.com/davidzwz/awesome-rag-reasoning,,-,-,davidzwz_awesome-rag-reasoning.md
deep-polyu/awesome-graphrag,https://github.com/deep-polyu/awesome-graphrag,,-,-,deep-polyu_awesome-graphrag.md
developzir/gepa-mcp,https://github.com/developzir/gepa-mcp,,-,-,developzir_gepa-mcp.md
ecnu-icalk/autoskill,https://github.com/ecnu-icalk/autoskill,,-,-,ecnu-icalk_autoskill.md
egmaminta/gepa-lite,https://github.com/egmaminta/gepa-lite,,-,-,egmaminta_gepa-lite.md
emartin59/text-game-llm-improver,https://github.com/emartin59/text-game-llm-improver,,-,-,emartin59_text-game-llm-improver.md
enajx/es,https://github.com/enajx/es,,-,-,enajx_es.md
evalops/dspy-0to1-guide,https://github.com/evalops/dspy-0to1-guide,,-,-,evalops_dspy-0to1-guide.md
evermind-ai/everos?tab=readme-ov-file,https://github.com/evermind-ai/everos?tab=readme-ov-file,,-,-,evermind-ai_everos?tab=readme-ov-file.md
